price;title;category_id;base_price;initial_quantity;condition;date_created;city;state;country
75000;Tv Box Convertidor Smart Luo Lu-v82 K4;MLA352001;75000;1;new;2025-03-20T20:09:28.418Z;Rosario;Santa Fe;Argentina
69999;Convertidor Smart Tv Box Luo Lu-v82 4k;MLA352001;69999;5;new;2025-03-20T19:41:02.585Z;Rosario;Santa Fe;Argentina
69999;Tv Box Convertidor Smart Luo Lu-v82 K4;MLA352001;69999;1;new;2025-03-20T20:07:34.571Z;Rosario;Santa Fe;Argentina
102999.99;Watch Onn Fhd Streaming Stick 2da Gen Full Hd 1.5gb Ram 8gb;MLA352001;102999.99;5;new;2024-09-30T18:48:57.702Z;CABA;Capital Federal;Argentina
89700;Smart Tv Onn Uhd Streaming Device 2° Gen 4k App Dolby Audio;MLA352001;89700;10;new;2025-02-07T17:41:46.318Z;Mataderos;Capital Federal;Argentina
67999;Mini Tv Box 8k Ultra Hd 2gb Ram + 16gb Hdmi 5g Android 13 Negro Estándar;MLA352001;67999;1;new;2025-03-20T23:44:28.013Z;Caseros;Buenos Aires;Argentina
154999;Google Chromecast Google Tv De Voz 4k 8gb Control Remoto;MLA352001;154999;19;new;2024-08-01T19:14:09.165Z;San Cristóbal;Capital Federal;Argentina
174685;Xiaomi Smart Tv Stick 4k;MLA352001;174685;13;new;2024-09-03T12:55:26.151Z;Benavidez;Buenos Aires;Argentina
123000;Xiaomi Mi Tv Stick Full Hd 8gb Chromecast Streaming Con Cont;MLA352001;123000;17;new;2025-03-12T00:35:41.266Z;LINIERS;Capital Federal;Argentina
155000;Chromecast Google Tv De Voz 4a Gen 4k 8gb Snow Con Fuente;MLA352001;155000;16;new;2024-11-25T20:48:20.240Z;Villa Crespo;Capital Federal;Argentina
199900.0;Chromecast Google Ga03131 Google Tv Hd 8gb Blanco;MLA352001;199900.0;182;new;2023-07-10T15:35:48.000Z;Adrogué;Buenos Aires;Argentina
185000;Google Chromecast 4ta Generación 4k;MLA352001;185000;1;new;2024-09-20T19:52:11.862Z;San Nicolás;Capital Federal;Argentina
108700;Smart Tv Onn Uhd Streaming Device 2° Gen 4k;MLA352001;108700;8;new;2025-02-07T17:44:12.693Z;Mataderos;Capital Federal;Argentina
103465;Xiaomi Mi Tv Stick Full Hd 8gb Con Control;MLA352001;103465;29;new;2025-01-27T03:06:05.058Z;Lomas de Zamora;Buenos Aires;Argentina
169499;Google Chromecast 4k Chromecast With Google;MLA352001;169499;88;new;2025-01-03T16:12:04.483Z;Córdoba;Córdoba;Argentina
243999.0;Streaming Tv Box Onn 4k Google Tv Control Remoto 8gb 2gb Ram;MLA352001;243999.0;8;new;2024-08-01T19:47:53.928Z;Castelar;Buenos Aires;Argentina
149000;Chromecast With Google Tv De Voz 4a Generación 4k 8gb 2g Ram;MLA352001;149000;3;new;2025-03-20T15:40:35.368Z;Palermo;Capital Federal;Argentina
159999;Google Chromecast Con Google Tv 4k Snow Blanco En Almagro;MLA352001;159999;49;new;2021-06-16T19:10:00.000Z;Almagro;Capital Federal;Argentina
211963.96;Chromecast 4 Google Tv 4k Cuot-s S/ Inter-s + Cargador Orig.;MLA352001;211963.96;86;new;2022-03-29T22:49:22.000Z;Martin Coronado;Buenos Aires;Argentina
365000;Tv Box Nvidia Shield Tv De Voz 4k 8gb Negro Con 2gb De Memoria Ram;MLA352001;365000;1;new;2025-02-04T19:39:18.572Z;benavidez;Buenos Aires;Argentina
122105.26;Onn Google Tv Fhd Streaming Stick + Fuente + Remoto;MLA352001;122105.26;10;new;2025-03-17T18:02:16.658Z;San Telmo;Capital Federal;Argentina
317499;Chromecast Ga01919-us Google 4 Generación 4k 8gb Con 2gb De;MLA352001;317499;5;new;2025-03-10T22:39:34.994Z;Núñez;Capital Federal;Argentina
211985.16;Google Tv + Chromecast Control De Voz 4k 8gb Cargador 220v;MLA352001;211985.16;111;new;2022-04-01T18:16:36.000Z;Martin Coronado;Buenos Aires;Argentina
295799.99;Google Chromecast 3 Smart Tv Box Original Netflix + Adapt ;MLA352001;295799.99;13;new;2016-10-06T20:13:22.000Z;Ramos Mejía;Buenos Aires;Argentina
119999.99;Smart Tv Onn Uhd Streaming 4k Control Remoto De Voz Google;MLA352001;119999.99;1;new;2024-08-01T19:34:46.110Z;CABA;Capital Federal;Argentina
185000;Xiaomi Tv Box S 2da Gen 4k Hdr Google Tv Dolby Atmos Negro De Voz;MLA352001;185000;8;new;2025-03-19T01:30:08.577Z;Formosa;Formosa;Argentina
148919;Convertidor A Tv Smart Xiaomi Mi Tv Stick Disney Netflix Hbo;MLA352001;148919;35;new;2022-08-29T20:04:47.000Z;capital;Córdoba;Argentina
116000;Tv Stick Xiaomi Soy Gamer;MLA352001;116000;2;new;2024-06-06T18:09:12.934Z;Belgrano;Capital Federal;Argentina
295989.99;Chromecast Version Miracast Netflix Youtube Spotify Ramos;MLA352001;295989.99;36;new;2018-06-01T18:51:27.000Z;Ramos Mejía;Buenos Aires;Argentina
270762;Xiaomi Smart Tv Stick 4k;MLA352001;270762;13;new;2024-09-03T13:16:09.627Z;Benavidez;Buenos Aires;Argentina
129000;Google Tv Box 4k Uhd;MLA352001;129000;1;new;2024-08-28T20:06:46.866Z;Córdoba;Córdoba;Argentina
201000;Chromecast With Google Tv De Voz 4a Generación 4k 8gb Snow C;MLA352001;201000;50;new;2025-03-11T16:53:49.330Z;Núñez;Capital Federal;Argentina
100000;Tv Stick Xiaomi Soy Gamer;MLA352001;100000;2;new;2024-04-02T16:02:02.000Z;Belgrano;Capital Federal;Argentina
105999;Control De Voz Xiaomi Mi Tv Stick Full Hd De 8 Gb 4k;MLA352001;105999;5;new;2024-08-20T18:29:08.057Z;Monte Castro;Capital Federal;Argentina
295897.99;Google Chromecast 4ta Generacion 4k Con Google Tv Premium;MLA352001;295897.99;4;new;2024-07-24T14:58:55.374Z;Ramos Mejía;Buenos Aires;Argentina
144992;Google Chromecast 4 Generación Con Google Tv Hd Blanco;MLA352001;144992;3;new;2024-08-29T16:54:31.750Z;San Justo;Buenos Aires;Argentina
141887.46;Xiaomi Mi Stick Tv Fhd Android Chromecast + Control Remoto;MLA352001;141887.46;36;new;2020-11-20T17:43:13.000Z;Barrio Norte;Capital Federal;Argentina
199999;Google Chromecast Google Tv De Voz 4k 8gb Cargador Original;MLA352001;199999;4;new;2025-03-11T20:12:46.098Z;San Andres;Buenos Aires;Argentina
85000;Tv Box H10max Pro Tv Box 4k 16gb 2gb Ram;MLA352001;85000;1;new;2025-03-20T12:42:35.182Z;Moreno;Buenos Aires;Argentina
165000;Google Chromecast 4ta Generación Con Google Tv Hd;MLA352001;165000;16;new;2024-11-15T13:16:20.504Z;El Talar;Buenos Aires;Argentina
